level_0	level_1	frames = 100 markers = 13 Hz = 30
42.874	1.1637	-22.60039142184615
44.821	-5.5303	-15.90139142184615
44.184	7.5611	-15.41339142184615
43.482	-6.9609	-4.56459142184615
43.435	9.4115	-4.12579142184615
42.973	-8.0376	5.19870857815385
43.412	10.812	5.60180857815385
47.419	-2.0109	4.453808578153851
46.917	5.5501	4.44930857815385
46.997	-2.2398	21.09960857815385
47.425	5.5252	21.096608578153848
48.862	-2.1603	34.85160857815386
47.838	5.4803	34.97460857815385
42.705	0.98256	-22.59039142184615
44.661	-5.7105	-15.883391421846149
43.994	7.3747	-15.412391421846149
43.634	-7.3865	-4.56549142184615
43.318	9.2555	-4.1295914218461505
42.695	-8.2008	5.19170857815385
43.349	10.678	5.59470857815385
47.44	-2.1136	4.46290857815385
46.891	5.444	4.42890857815385
46.727	-2.3153	21.09860857815385
47.27	5.4986	21.07860857815385
48.852	-2.1849	34.812608578153856
47.845	5.4851	34.95160857815385
42.529	0.8	-22.62339142184615
44.493	-5.8871	-15.90439142184615
43.782	7.1876	-15.481391421846151
43.628	-7.546	-4.5811914218461505
43.207	9.1098	-4.20559142184615
42.679	-8.2561	5.1829085781538495
43.3	10.55	5.51570857815385
47.394	-2.2918	4.39070857815385
46.822	5.2641	4.397908578153849
46.667	-2.4086	21.02660857815385
47.194	5.3256	21.04860857815385
48.829	-2.2047	34.73360857815385
47.765	5.3185	34.92160857815385
42.35	0.54004	-22.61039142184615
44.317	-6.134	-15.86339142184615
43.568	6.9386	-15.470391421846148
43.714	-7.7963	-4.53989142184615
43.123	8.9638	-4.21269142184615
42.671	-8.3154	5.22650857815385
43.255	10.434	5.50360857815385
47.347	-2.4557	4.37630857815385
46.716	5.0954	4.39370857815385
46.584	-2.5069	21.01160857815385
47.15	5.2557	21.04160857815385
48.83	-2.2318	34.70360857815385
47.775	5.3316	34.91260857815385
42.18	0.28313	-22.59539142184615
44.107	-6.3551	-15.845391421846148
43.34	6.7059	-15.44839142184615
43.848	-8.1465	-4.54789142184615
43.078	8.8427	-4.21469142184615
42.585	-8.4632	5.20140857815385
43.179	10.262	5.50960857815385
47.264	-2.6609	4.36620857815385
46.572	4.8848	4.4035085781538506
46.438	-2.6371	20.99860857815385
47.081	5.1499	21.04860857815385
48.836	-2.2742	34.66260857815385
47.765	5.3145	34.91560857815385
42.022	-0.078902	-22.55039142184615
43.891	-6.6827	-15.787391421846149
43.171	6.393	-15.40539142184615
44.145	-8.5972	-4.53799142184615
43.144	8.8025	-4.23189142184615
42.552	-8.589	5.16840857815385
43.013	10.13	5.50510857815385
47.138	-2.8762	4.38590857815385
46.401	4.6652	4.414708578153849
46.203	-2.7583	21.01160857815385
46.831	5.0414	21.05960857815385
48.83	-2.2836	34.630608578153854
47.757	5.2611	34.91160857815386
41.811	-0.36837	-22.52439142184615
43.672	-6.9708	-15.760391421846151
42.931	6.0965	-15.389391421846149
44.317	-9.0148	-4.56819142184615
43.258	8.9268	-4.33029142184615
42.332	-8.8147	5.06350857815385
42.667	10.096	5.41030857815385
47.01	-3.1117	4.36800857815385
46.172	4.419	4.41870857815385
45.885	-2.856	20.98060857815385
46.328	5.0023	21.06160857815385
48.794	-2.1828	34.532608578153855
47.734	5.3172	34.871608578153854
41.649	-0.67944	-22.50239142184615
43.5	-7.298	-15.74139142184615
42.743	5.7629	-15.37339142184615
44.666	-9.7369	-4.6897914218461505
43.586	9.2232	-4.5327914218461505
41.612	-9.1702	4.64320857815385
42.018	10.133	5.1276085781538505
46.716	-3.1963	4.44640857815385
45.862	4.3324	4.34740857815385
45.458	-2.9745	21.04960857815385
45.511	5.0442	20.98160857815385
48.794	-2.2577	34.50060857815386
47.652	5.3207	34.69660857815386
41.435	-1.0366	-22.31639142184615
43.212	-7.6626	-15.65839142184615
42.687	5.404	-15.397391421846152
45.112	-10.77	-4.89549142184615
43.617	9.4311	-4.7461914218461505
40.387	-9.6122	3.65400857815385
41.057	10.441	4.68960857815385
46.665	-3.5676	4.5979085781538505
45.918	3.9729	4.53110857815385
45.085	-3.1569	21.16960857815385
44.556	5.0782	21.09060857815385
48.79	-2.253	34.51260857815386
47.498	5.398	34.65560857815386
41.187	-1.3783	-22.06039142184615
42.903	-8.0061	-15.41939142184615
42.516	5.069	-15.229391421846149
45.213	-11.889	-4.98459142184615
44.821	10.328	-5.35679142184615
38.745	-10.269	2.24764857815385
39.479	10.641	2.88650857815385
46.469	-3.792	4.72860857815385
45.854	3.7607	4.75590857815385
44.673	-3.255	21.27460857815385
43.47	5.2183	21.17060857815385
48.777	-2.2359	34.49160857815386
47.346	5.4211	34.499608578153854
40.908	-1.6087	-21.75839142184615
42.549	-8.211	-15.164391421846151
42.307	4.8563	-15.054391421846152
44.873	-13.076	-5.10849142184615
45.351	10.85	-5.79909142184615
36.79	-10.944	0.07710857815384986
37.858	10.692	0.5584085781538499
46.201	-3.954	4.91120857815385
45.768	3.611	4.99100857815385
44.107	-3.3629	21.42060857815385
41.75	5.3506	21.05460857815385
48.769	-2.2772	34.44560857815385
46.715	5.1014	34.017608578153855
40.483	-1.346	-21.43439142184615
