"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","nt","stim","resp","slider_start"
"null","null","html-keyboard-response","358","2.0.0","1436230","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","168","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""I am angry"",""give me""]",""
"2082","0","html-slider-response","359","2.0.0","1438314","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","360","2.0.0","1441517","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","169","[""pick_up_M_A.txt"",""pick_up_M_B.txt""]","[""I am angry"",""pick up""]",""
"2673","98","html-slider-response","361","2.0.0","1444191","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1657","{}","survey-html-form","362","2.0.0","1445850","","","","",""
"null","null","html-keyboard-response","363","2.0.0","1449051","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","170","[""move_it_M_A.txt"",""move_it_M_B.txt""]","[""move it"",""this tall""]",""
"3041","17","html-slider-response","364","2.0.0","1452094","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","365","2.0.0","1455297","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","171","[""look_floor_M_A.txt"",""look_floor_M_B.txt""]","[""move it"",""look at<br>the floor""]",""
"2406","94","html-slider-response","366","2.0.0","1457704","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","367","2.0.0","1460907","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","172","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""I am angry"",""move over""]",""
"2185","9","html-slider-response","368","2.0.0","1463094","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","369","2.0.0","1466297","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","173","[""move_over_M_A.txt"",""move_over_M_B.txt""]","[""pick up"",""move over""]",""
"2495","90","html-slider-response","370","2.0.0","1468794","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","371","2.0.0","1471997","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","174","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""sit down"",""help yourself""]",""
"3933","85","html-slider-response","372","2.0.0","1475932","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","373","2.0.0","1479134","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","175","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""look at<br>the floor"",""I am angry""]",""
"2422","95","html-slider-response","374","2.0.0","1481558","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","375","2.0.0","1484759","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","176","[""look_ceiling_M_A.txt"",""look_ceiling_M_B.txt""]","[""no"",""look at<br>the ceiling""]",""
"1994","93","html-slider-response","376","2.0.0","1486755","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1023","{}","survey-html-form","377","2.0.0","1487779","","","","",""
"null","null","html-keyboard-response","378","2.0.0","1490982","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","177","[""go_overthere_M_A.txt"",""go_overthere_M_B.txt""]","[""put down"",""go over there""]",""
"2430","92","html-slider-response","379","2.0.0","1493413","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","380","2.0.0","1496614","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","178","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""this tall"",""I am angry""]",""
"2382","3","html-slider-response","381","2.0.0","1498998","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","382","2.0.0","1502200","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","179","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""no"",""come closer""]",""
"2235","92","html-slider-response","383","2.0.0","1504437","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","384","2.0.0","1507639","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","180","[""sit_down_M_A.txt"",""sit_down_M_B.txt""]","[""pick up"",""sit down""]",""
"1983","92","html-slider-response","385","2.0.0","1509624","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","386","2.0.0","1512827","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","181","[""sit_down_M_A.txt"",""sit_down_M_B.txt""]","[""give me"",""sit down""]",""
"1860","93","html-slider-response","387","2.0.0","1514689","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","388","2.0.0","1517891","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","182","[""imitate_me_M_A.txt"",""imitate_me_M_B.txt""]","[""imitate me"",""help yourself""]",""
"2385","1","html-slider-response","389","2.0.0","1520278","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","390","2.0.0","1523481","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","183","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""which one?"",""help yourself""]",""
"2121","5","html-slider-response","391","2.0.0","1525603","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"4582","{}","survey-html-form","392","2.0.0","1530186","","","","",""
"null","null","html-keyboard-response","393","2.0.0","1533388","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","184","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""pick up""]",""
"2253","2","html-slider-response","394","2.0.0","1535643","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","395","2.0.0","1538845","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","185","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""which one?"",""give me""]",""
"2983","5","html-slider-response","396","2.0.0","1541830","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
