frames = 123 markers = 13 Hz = 30
-38.352	5.9869	30.253
-39.37	12.831	22.862
-38.947	-0.44015	22.449
-39.546	15.583	9.4469
-38.93	-3.6785	9.1444
-37.757	16.84	0.15094
-39.314	-5.8998	-0.12786
-39.055	9.5533	0.78994
-39.685	1.2074	0.79474
-39.666	9.871	-15.446
-40.307	0.40345	-15.425
-40.236	10.152	-30.172
-40.856	-0.30129	-30.144
-38.369	5.978	30.253
-39.385	12.82	22.867
-38.93	-0.45	22.456
-39.507	15.552	9.4448
-38.899	-3.6815	9.1487
-37.766	16.844	0.14474
-39.274	-5.8981	-0.12506
-39.062	9.5512	0.79184
-39.677	1.2042	0.79394
-39.516	9.8625	-15.449
-40.156	0.3629	-15.428
-40.236	10.15	-30.168
-40.855	-0.30043	-30.143
-38.388	5.9684	30.253
-39.401	12.808	22.872
-38.911	-0.46047	22.463
-39.506	15.539	9.4489
-38.866	-3.6846	9.1533
-37.77	16.843	0.14934
-39.231	-5.8961	-0.12206
-39.069	9.5489	0.79374
-39.669	1.2008	0.79294
-39.519	9.8605	-15.447
-40.153	0.36233	-15.429
-40.236	10.148	-30.167
-40.856	-0.29936	-30.144
-38.41	5.9571	30.253
-39.419	12.794	22.878
-38.889	-0.47251	22.471
-39.501	15.523	9.453
-38.828	-3.6884	9.1589
-37.775	16.842	0.15374
-39.18	-5.8935	-0.11846
-39.078	9.5463	0.79594
-39.659	1.1969	0.79184
-39.524	9.8582	-15.445
-40.149	0.36116	-15.43
-40.236	10.145	-30.165
-40.856	-0.29814	-30.145
-38.43	5.9466	30.252
-39.436	12.782	22.883
-38.869	-0.4835	22.479
-39.49	15.505	9.456
-38.792	-3.6916	9.1641
-37.781	16.841	0.15634
-39.133	-5.8913	-0.11506
-39.086	9.5438	0.79804
-39.65	1.1932	0.79084
-39.527	9.856	-15.443
-40.143	0.3597	-15.432
-40.237	10.143	-30.163
-40.856	-0.29704	-30.146
-38.451	5.9358	30.252
-39.454	12.768	22.888
-38.848	-0.4946	22.487
-39.478	15.487	9.459
-38.754	-3.6945	9.1694
-37.787	16.841	0.15874
-39.085	-5.8889	-0.11136
-39.094	9.5412	0.80014
-39.641	1.1895	0.78984
-39.533	9.8537	-15.441
-40.138	0.35836	-15.433
-40.237	10.141	-30.161
-40.857	-0.29581	-30.147
-38.468	5.9268	30.251
-39.468	12.757	22.893
-38.83	-0.50362	22.493
-39.465	15.47	9.461
-38.723	-3.6971	9.1739
-37.792	16.841	0.15974
-39.046	-5.887	-0.10826
-39.1	9.539	0.80184
-39.633	1.1865	0.78904
-39.537	9.8518	-15.439
