level_0	level_1	frames = 114 markers = 13 Hz = 30
30.689356275303673	-2.0153	30.666
30.956356275303676	-9.0787	22.755
29.707356275303674	5.1156	22.817
32.96935627530368	-10.851	9.0819
30.003356275303673	8.095	9.2199
34.30235627530368	-11.987	0.028219
31.63535627530368	8.7573	0.17902
29.722356275303675	-6.1614	2.4435
29.453356275303676	2.0587	2.4487
29.419356275303677	-6.5402	-15.352
28.938356275303676	3.0806	-15.319
29.139356275303676	-6.8605	-30.961
28.500356275303673	3.9496	-30.908
30.60135627530368	-2.0536	30.638
30.894356275303675	-9.1008	22.689
29.669356275303677	5.0882	22.797
32.96635627530368	-11.02	9.0451
30.07435627530368	8.08	9.2052
34.39735627530368	-12.082	-0.0025806
31.671356275303676	8.7815	0.16132
29.722356275303675	-6.2141	2.4413
29.530356275303674	2.0079	2.3664
29.579356275303674	-6.6039	-15.356
29.13535627530368	3.0872	-15.4
29.140356275303674	-6.8627	-30.962
28.498356275303678	3.952	-30.983
30.559356275303678	-2.0369	30.669
30.905356275303678	-9.0966	22.714
29.693356275303678	5.0967	22.844
33.02935627530368	-11.043	9.0818
30.122356275303673	8.0051	9.235
34.48035627530368	-12.16	0.044019
31.687356275303678	8.706	0.18512
29.734356275303675	-6.1763	2.44
29.481356275303675	2.0444	2.4451
29.58635627530368	-6.5825	-15.357
29.11335627530368	3.1028	-15.324
29.14135627530368	-6.8577	-30.962
28.499356275303676	3.9472	-30.908
30.51335627530368	-2.0588	30.668
30.879356275303678	-9.1125	22.693
29.691356275303676	5.0782	22.847
33.07435627530368	-11.056	9.0716
30.182356275303675	7.9554	9.2334
34.557356275303675	-12.216	0.044419
31.717356275303676	8.6943	0.18122
29.749356275303676	-6.1785	2.4382
29.498356275303678	2.0422	2.4416
29.590356275303677	-6.5874	-15.359
29.120356275303678	3.1014	-15.327
29.140356275303674	-6.8656	-30.964
28.500356275303673	3.9474	-30.911
30.45235627530368	-2.0683	30.665
30.851356275303676	-9.1196	22.69
29.67135627530368	5.0735	22.85
33.118356275303675	-11.059	9.08
30.23235627530368	7.915	9.2316
34.634356275303674	-12.256	0.063219
31.741356275303676	8.69	0.17812
29.770356275303676	-6.181	2.4345
29.523356275303676	2.0399	2.4345
29.600356275303675	-6.5878	-15.363
29.132356275303678	3.1015	-15.334
29.140356275303674	-6.864	-30.967
28.502356275303676	3.9502	-30.917
30.39735627530368	-2.0928	30.661
30.823356275303677	-9.1341	22.681
29.651356275303677	5.0599	22.848
33.14435627530368	-11.062	9.0783
30.265356275303674	7.8718	9.2255
34.68735627530368	-12.281	0.068719
31.757356275303678	8.6721	0.17152
29.788356275303677	-6.1793	2.4273
29.544356275303677	2.0416	2.4272
29.609356275303675	-6.5862	-15.37
29.173356275303675	2.9576	-15.349
